carat,price,x,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.31,696,4.33,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.5,1935,5.13,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.52,1819,5.17,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.38,1133,4.63,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.7,11519,7.63,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.3,675,4.31,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.24,391,3.99,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.54,1786,5.31,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.5,17203,7.51,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.4,662,4.74,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
0.61,1971,5.29,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,4739,6.28,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0.72,3759,5.82,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1.02,5350,6.09,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.41,1295,4.8,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.3,848,4.34,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.28,650,4.25,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
0.31,816,4.37,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.53,1723,5.22,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.33,928,4.46,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,1389,5.08,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1.5,8910,7.19,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.0,4649,6.51,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1.91,9038,7.9,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.51,8396,7.39,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,554,4.35,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.0,6989,6.36,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.42,1221,4.86,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1.21,5346,6.73,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0.59,1555,5.45,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
0.75,2859,6.09,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2.01,13342,7.99,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.77,3018,5.85,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.61,2331,5.42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.35,14616,7.07,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.01,9735,6.42,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.3,648,4.42,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.0,4697,6.47,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,871,4.87,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.42,1103,4.8,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.77,2781,5.83,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2.3,11051,8.53,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.53,1636,5.24,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.22,8608,6.82,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.37,603,4.67,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.82,13939,7.83,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0.74,3180,5.79,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
0.64,1390,5.47,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,912,4.42,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.3,473,4.38,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.67,2050,5.68,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.43,830,4.82,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.01,6999,6.32,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
1.54,7453,7.41,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
1.01,6516,6.38,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1.2,8056,6.72,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.3,862,4.28,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
1.56,9788,7.45,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,730,4.42,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.53,1813,5.22,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.73,2791,5.74,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.4,868,4.75,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0.56,1664,5.37,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.32,936,4.37,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.41,1079,4.83,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.38,1040,4.68,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.53,11370,7.47,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.02,4113,6.51,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2.41,17923,8.87,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.7,2473,5.79,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False
1.05,4234,6.48,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.24,678,4.03,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.7,2657,5.83,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.93,4214,6.2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2.05,15837,8.24,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.32,936,4.42,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.51,1656,5.12,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.11,4096,6.69,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,3387,6.09,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.7,1702,5.74,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1.19,6157,6.84,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3,526,4.28,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,670,4.31,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.54,964,5.22,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0.5,1134,4.95,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.12,4084,6.67,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.01,16086,7.87,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3,945,4.28,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1.5,15851,7.3,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.71,2552,5.78,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.55,1763,5.23,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.52,1073,5.1,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.2,10161,6.85,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.73,2728,5.73,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.43,968,4.84,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1.1,4764,6.6,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.76,3050,5.82,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.71,2630,5.65,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
1.03,2220,6.64,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1.02,2879,6.53,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.35,1028,4.56,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.34,490,4.44,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.7,2479,5.55,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.5,1749,5.14,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.74,3357,5.76,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.11,5281,6.73,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.31,949,4.39,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.4,1017,4.72,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0.51,1758,5.11,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2.01,15977,8.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.51,9352,7.34,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.91,4765,6.24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.5,1431,5.15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.37,957,4.6,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
1.01,6777,6.52,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
0.75,2850,5.83,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
0.53,2061,5.36,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.89,4192,6.22,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.9,4114,6.14,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.48,1270,5.04,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.9,3445,6.21,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.9,1599,6.32,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.56,1378,5.23,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0.52,1586,5.15,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.74,4082,5.78,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0.81,4284,5.94,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.71,2381,5.71,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.2,3951,6.95,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.3,776,4.34,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.19,5956,6.9,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.34,589,4.55,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.22,10538,6.89,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.45,1063,4.86,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.01,4559,6.45,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
1.38,4598,7.06,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.92,5805,6.25,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0.91,4969,6.19,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.25,6073,6.94,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
0.41,747,4.8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.41,894,4.81,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
2.11,12554,8.29,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.5,1250,5.19,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,911,4.34,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.33,752,4.44,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.32,4719,7.01,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
1.57,7385,7.39,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.23,505,3.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.09,8057,6.63,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.91,3282,6.15,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.25,6300,7.0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.29,600,4.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1.01,7001,6.45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.56,1441,5.36,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.61,2544,5.39,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.71,2428,5.64,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.35,1167,4.52,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.34,974,4.52,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
2.01,12829,8.2,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1.58,7654,7.61,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1.02,6704,6.58,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.3,574,4.32,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
0.71,2780,5.68,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.01,4475,6.28,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
1.02,6356,6.51,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.4,1050,4.69,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.32,1235,4.4,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.74,4274,5.85,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.72,3759,5.74,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0.75,3011,5.82,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.51,12644,7.52,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.53,1422,5.26,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.25,5166,7.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
0.51,1636,5.11,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
0.32,567,4.38,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.55,1905,5.25,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1.02,8545,6.45,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1.2,8588,6.88,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1.0,10134,6.59,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
0.3,407,4.25,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.55,1186,5.35,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.32,756,4.39,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.26,8113,7.04,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.22,6518,6.85,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0.88,3264,6.04,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
0.52,1689,5.21,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0.52,1352,5.18,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,3704,6.23,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
0.32,707,4.44,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.51,1599,5.05,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0.84,2863,6.06,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
1.56,6716,7.39,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.24,552,3.93,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.35,1024,4.54,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.36,689,4.62,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.4,1333,4.79,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1.52,7239,7.32,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
0.25,500,4.03,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1.04,8090,6.49,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0.73,2835,5.89,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
1.11,4029,6.56,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0.4,882,4.71,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.26,733,4.12,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2.1,6597,7.82,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.36,537,4.55,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.57,1637,5.31,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
0.79,4046,5.96,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
0.34,765,4.48,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.9,3629,6.23,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.9,3950,6.23,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
0.32,477,4.4,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.31,593,4.34,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.35,906,4.58,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.72,2398,5.76,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
0.73,2661,5.91,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.3,450,4.3,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.75,3129,5.72,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1.01,2942,6.27,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.01,3620,6.3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.55,2499,5.33,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
0.3,658,4.25,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
1.99,11486,8.08,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.5,2639,5.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.37,833,4.64,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.32,1061,4.45,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0.72,2920,5.78,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1.09,5306,6.74,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.9,4400,6.28,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
0.3,540,4.3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1.15,4830,6.75,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
0.32,756,4.42,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0.5,1172,5.04,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.4,945,4.74,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
0.5,1865,5.08,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0.83,3482,6.06,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.2,4203,6.94,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.4,687,4.77,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.33,579,4.44,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
0.54,1637,5.42,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.01,5185,6.59,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1.01,3197,6.15,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0.31,625,4.32,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0.4,707,4.71,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0.39,988,4.73,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0.31,907,4.38,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0.31,591,4.36,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0.33,891,4.46,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0.3,421,4.25,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
0.52,1919,5.19,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.41,1153,4.8,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.7,3205,5.74,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.09,7357,6.62,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1.01,6618,6.42,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.3,776,4.34,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0.5,1279,5.15,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1.13,4518,6.78,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0.59,2131,5.44,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.3,5124,6.9,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0.45,764,4.95,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.73,3311,5.8,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
0.41,1295,4.76,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.31,593,4.33,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1.52,10428,7.32,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0.32,730,4.4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.26,6046,7.05,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.01,4588,6.3,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.9,3353,6.11,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0.76,2706,6.03,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.5,1237,5.06,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
0.7,1940,5.73,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1.21,6834,6.86,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.0,7528,6.39,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
0.32,648,4.43,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2.01,10772,7.8,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1.01,3655,6.3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
0.35,706,4.53,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
